FECHA;SUBDETERMINANTE;POSIBLES;POSITIVAS
24/09/2018;Acompanamiento y Contencion;25;20
25/09/2018;Acompanamiento y Contencion;2;2
26/09/2018;Acompanamiento y Contencion;10;4
27/09/2018;Acompanamiento y Contencion;8;4
28/09/2018;Acompanamiento y Contencion;8;5
01/10/2018;Acompanamiento y Contencion;103;90
02/10/2018;Acompanamiento y Contencion;130;113
03/10/2018;Acompanamiento y Contencion;170;154
04/10/2018;Acompanamiento y Contencion;236;201
05/10/2018;Acompanamiento y Contencion;410;346
06/10/2018;Acompanamiento y Contencion;17;14
07/10/2018;Acompanamiento y Contencion;10;9
08/10/2018;Acompanamiento y Contencion;162;141
09/10/2018;Acompanamiento y Contencion;251;208
10/10/2018;Acompanamiento y Contencion;207;190
11/10/2018;Acompanamiento y Contencion;392;339
12/10/2018;Acompanamiento y Contencion;389;342
13/10/2018;Acompanamiento y Contencion;13;12
14/10/2018;Acompanamiento y Contencion;6;6
15/10/2018;Acompanamiento y Contencion;6;6
16/10/2018;Acompanamiento y Contencion;290;262
17/10/2018;Acompanamiento y Contencion;266;225
18/10/2018;Acompanamiento y Contencion;359;310
19/10/2018;Acompanamiento y Contencion;336;311
20/10/2018;Acompanamiento y Contencion;18;18
21/10/2018;Acompanamiento y Contencion;2;1
22/10/2018;Acompanamiento y Contencion;91;76
23/10/2018;Acompanamiento y Contencion;252;228
24/10/2018;Acompanamiento y Contencion;166;142
25/10/2018;Acompanamiento y Contencion;159;142
26/10/2018;Acompanamiento y Contencion;172;146
27/10/2018;Acompanamiento y Contencion;64;58
28/10/2018;Acompanamiento y Contencion;29;22
29/10/2018;Acompanamiento y Contencion;128;103
30/10/2018;Acompanamiento y Contencion;93;77
31/10/2018;Acompanamiento y Contencion;99;93
01/11/2018;Acompanamiento y Contencion;94;71
02/11/2018;Acompanamiento y Contencion;106;85
03/11/2018;Acompanamiento y Contencion;46;34
04/11/2018;Acompanamiento y Contencion;35;22
05/11/2018;Acompanamiento y Contencion;153;134
06/11/2018;Acompanamiento y Contencion;142;125
07/11/2018;Acompanamiento y Contencion;180;158
08/11/2018;Acompanamiento y Contencion;104;95
09/11/2018;Acompanamiento y Contencion;205;165
10/11/2018;Acompanamiento y Contencion;47;41
11/11/2018;Acompanamiento y Contencion;5;3
12/11/2018;Acompanamiento y Contencion;215;181
13/11/2018;Acompanamiento y Contencion;240;202
14/11/2018;Acompanamiento y Contencion;252;222
15/11/2018;Acompanamiento y Contencion;152;132
16/11/2018;Acompanamiento y Contencion;128;120
17/11/2018;Acompanamiento y Contencion;36;29
18/11/2018;Acompanamiento y Contencion;27;25
19/11/2018;Acompanamiento y Contencion;85;79
20/11/2018;Acompanamiento y Contencion;104;96
21/11/2018;Acompanamiento y Contencion;95;85
22/11/2018;Acompanamiento y Contencion;85;71
23/11/2018;Acompanamiento y Contencion;86;74
24/11/2018;Acompanamiento y Contencion;20;18
25/11/2018;Acompanamiento y Contencion;15;11
26/11/2018;Acompanamiento y Contencion;134;110
27/11/2018;Acompanamiento y Contencion;100;85
24/09/2018;Ajustes;0;0
28/09/2018;Ajustes;1;1
01/10/2018;Ajustes;0;0
02/10/2018;Ajustes;5;4
03/10/2018;Ajustes;5;5
04/10/2018;Ajustes;1;1
05/10/2018;Ajustes;0;0
07/10/2018;Ajustes;3;3
08/10/2018;Ajustes;1;1
09/10/2018;Ajustes;2;2
10/10/2018;Ajustes;1;1
11/10/2018;Ajustes;2;2
12/10/2018;Ajustes;1;1
16/10/2018;Ajustes;0;0
17/10/2018;Ajustes;0;0
18/10/2018;Ajustes;0;0
19/10/2018;Ajustes;0;0
23/10/2018;Ajustes;0;0
24/10/2018;Ajustes;3;3
25/10/2018;Ajustes;25;25
26/10/2018;Ajustes;12;8
29/10/2018;Ajustes;1;1
01/11/2018;Ajustes;1;1
12/11/2018;Ajustes;1;1
26/11/2018;Ajustes;1;1
24/09/2018;Anclaje;18;15
25/09/2018;Anclaje;1;1
26/09/2018;Anclaje;8;5
27/09/2018;Anclaje;5;3
28/09/2018;Anclaje;4;2
01/10/2018;Anclaje;40;34
02/10/2018;Anclaje;44;38
03/10/2018;Anclaje;86;78
04/10/2018;Anclaje;94;81
05/10/2018;Anclaje;45;39
06/10/2018;Anclaje;7;7
07/10/2018;Anclaje;0;0
08/10/2018;Anclaje;31;28
09/10/2018;Anclaje;105;79
10/10/2018;Anclaje;54;47
11/10/2018;Anclaje;95;81
12/10/2018;Anclaje;101;97
13/10/2018;Anclaje;10;9
14/10/2018;Anclaje;0;0
15/10/2018;Anclaje;0;0
16/10/2018;Anclaje;61;58
17/10/2018;Anclaje;50;40
18/10/2018;Anclaje;77;59
19/10/2018;Anclaje;93;78
20/10/2018;Anclaje;10;6
21/10/2018;Anclaje;0;0
22/10/2018;Anclaje;18;12
23/10/2018;Anclaje;77;68
24/10/2018;Anclaje;45;38
25/10/2018;Anclaje;25;23
26/10/2018;Anclaje;49;43
27/10/2018;Anclaje;28;21
28/10/2018;Anclaje;2;1
29/10/2018;Anclaje;33;23
30/10/2018;Anclaje;26;18
31/10/2018;Anclaje;42;34
01/11/2018;Anclaje;20;15
02/11/2018;Anclaje;37;25
03/11/2018;Anclaje;22;12
04/11/2018;Anclaje;18;7
05/11/2018;Anclaje;60;37
06/11/2018;Anclaje;45;39
07/11/2018;Anclaje;47;40
08/11/2018;Anclaje;30;25
09/11/2018;Anclaje;91;44
10/11/2018;Anclaje;34;27
11/11/2018;Anclaje;2;1
12/11/2018;Anclaje;97;62
13/11/2018;Anclaje;127;114
14/11/2018;Anclaje;54;46
15/11/2018;Anclaje;44;38
16/11/2018;Anclaje;50;43
17/11/2018;Anclaje;25;24
18/11/2018;Anclaje;8;7
19/11/2018;Anclaje;41;39
20/11/2018;Anclaje;25;21
21/11/2018;Anclaje;24;18
22/11/2018;Anclaje;17;9
23/11/2018;Anclaje;28;24
24/11/2018;Anclaje;16;14
25/11/2018;Anclaje;7;3
26/11/2018;Anclaje;27;19
27/11/2018;Anclaje;31;21
24/09/2018;Asesoramiento;25;22
25/09/2018;Asesoramiento;2;1
26/09/2018;Asesoramiento;10;3
27/09/2018;Asesoramiento;8;6
28/09/2018;Asesoramiento;8;5
01/10/2018;Asesoramiento;103;96
02/10/2018;Asesoramiento;130;115
03/10/2018;Asesoramiento;175;155
04/10/2018;Asesoramiento;258;224
05/10/2018;Asesoramiento;425;319
06/10/2018;Asesoramiento;17;13
07/10/2018;Asesoramiento;11;11
08/10/2018;Asesoramiento;170;155
09/10/2018;Asesoramiento;264;237
10/10/2018;Asesoramiento;243;218
11/10/2018;Asesoramiento;416;347
12/10/2018;Asesoramiento;437;369
13/10/2018;Asesoramiento;13;10
14/10/2018;Asesoramiento;6;5
15/10/2018;Asesoramiento;6;6
16/10/2018;Asesoramiento;345;295
17/10/2018;Asesoramiento;322;279
18/10/2018;Asesoramiento;375;340
19/10/2018;Asesoramiento;353;332
20/10/2018;Asesoramiento;18;15
21/10/2018;Asesoramiento;2;2
22/10/2018;Asesoramiento;110;96
23/10/2018;Asesoramiento;281;265
24/10/2018;Asesoramiento;190;165
25/10/2018;Asesoramiento;169;151
26/10/2018;Asesoramiento;186;165
27/10/2018;Asesoramiento;65;61
28/10/2018;Asesoramiento;29;25
29/10/2018;Asesoramiento;136;113
30/10/2018;Asesoramiento;109;91
31/10/2018;Asesoramiento;108;99
01/11/2018;Asesoramiento;111;90
02/11/2018;Asesoramiento;115;101
03/11/2018;Asesoramiento;47;32
04/11/2018;Asesoramiento;35;25
05/11/2018;Asesoramiento;171;153
06/11/2018;Asesoramiento;166;146
07/11/2018;Asesoramiento;210;176
08/11/2018;Asesoramiento;119;109
09/11/2018;Asesoramiento;232;198
10/11/2018;Asesoramiento;47;44
11/11/2018;Asesoramiento;7;4
12/11/2018;Asesoramiento;233;198
13/11/2018;Asesoramiento;260;232
14/11/2018;Asesoramiento;277;251
15/11/2018;Asesoramiento;197;172
16/11/2018;Asesoramiento;153;138
17/11/2018;Asesoramiento;36;30
18/11/2018;Asesoramiento;27;26
19/11/2018;Asesoramiento;86;80
20/11/2018;Asesoramiento;129;114
21/11/2018;Asesoramiento;113;104
22/11/2018;Asesoramiento;112;95
23/11/2018;Asesoramiento;99;86
24/11/2018;Asesoramiento;21;17
25/11/2018;Asesoramiento;15;14
26/11/2018;Asesoramiento;158;141
27/11/2018;Asesoramiento;120;109
24/09/2018;Automatismos;16;11
26/09/2018;Automatismos;9;5
27/09/2018;Automatismos;7;3
28/09/2018;Automatismos;5;2
01/10/2018;Automatismos;62;28
02/10/2018;Automatismos;86;35
03/10/2018;Automatismos;62;34
04/10/2018;Automatismos;97;48
05/10/2018;Automatismos;281;106
06/10/2018;Automatismos;9;2
07/10/2018;Automatismos;4;2
08/10/2018;Automatismos;125;61
09/10/2018;Automatismos;159;85
10/10/2018;Automatismos;111;37
11/10/2018;Automatismos;230;90
12/10/2018;Automatismos;286;130
14/10/2018;Automatismos;6;2
15/10/2018;Automatismos;0;0
16/10/2018;Automatismos;190;76
17/10/2018;Automatismos;159;66
18/10/2018;Automatismos;201;78
19/10/2018;Automatismos;183;96
20/10/2018;Automatismos;8;2
21/10/2018;Automatismos;2;1
22/10/2018;Automatismos;58;31
23/10/2018;Automatismos;158;122
24/10/2018;Automatismos;88;49
25/10/2018;Automatismos;75;44
26/10/2018;Automatismos;90;55
27/10/2018;Automatismos;34;23
28/10/2018;Automatismos;7;1
29/10/2018;Automatismos;60;20
30/10/2018;Automatismos;45;24
31/10/2018;Automatismos;38;27
01/11/2018;Automatismos;46;16
02/11/2018;Automatismos;46;22
03/11/2018;Automatismos;24;5
04/11/2018;Automatismos;23;3
05/11/2018;Automatismos;78;38
06/11/2018;Automatismos;50;24
07/11/2018;Automatismos;67;28
08/11/2018;Automatismos;40;22
09/11/2018;Automatismos;135;49
10/11/2018;Automatismos;9;4
11/11/2018;Automatismos;2;1
12/11/2018;Automatismos;95;47
13/11/2018;Automatismos;164;112
14/11/2018;Automatismos;96;48
15/11/2018;Automatismos;98;48
16/11/2018;Automatismos;72;41
17/11/2018;Automatismos;9;7
18/11/2018;Automatismos;8;3
19/11/2018;Automatismos;17;6
20/11/2018;Automatismos;58;33
21/11/2018;Automatismos;49;30
22/11/2018;Automatismos;42;22
23/11/2018;Automatismos;23;12
24/11/2018;Automatismos;4;0
25/11/2018;Automatismos;10;6
26/11/2018;Automatismos;54;27
27/11/2018;Automatismos;45;31
22/10/2018;Beneficios;10;7
23/10/2018;Beneficios;18;11
24/10/2018;Beneficios;6;2
26/10/2018;Beneficios;3;0
29/10/2018;Beneficios;7;6
01/11/2018;Beneficios;1;1
02/11/2018;Beneficios;1;0
03/11/2018;Beneficios;2;0
06/11/2018;Beneficios;8;5
07/11/2018;Beneficios;8;0
08/11/2018;Beneficios;20;5
09/11/2018;Beneficios;4;3
12/11/2018;Beneficios;14;9
13/11/2018;Beneficios;14;6
14/11/2018;Beneficios;8;3
15/11/2018;Beneficios;8;2
16/11/2018;Beneficios;5;1
21/11/2018;Beneficios;2;0
23/11/2018;Beneficios;6;1
24/11/2018;Beneficios;8;3
26/11/2018;Beneficios;11;8
27/11/2018;Beneficios;2;1
24/09/2018;Debito Automatico;0;0
28/09/2018;Debito Automatico;2;0
01/10/2018;Debito Automatico;1;0
02/10/2018;Debito Automatico;2;0
03/10/2018;Debito Automatico;2;0
04/10/2018;Debito Automatico;0;0
05/10/2018;Debito Automatico;1;0
07/10/2018;Debito Automatico;0;0
