Location,Series,Court,Surface,Round,Total
Adelaide,International,Outdoor,Hard,1st Round,128
Adelaide,International,Outdoor,Hard,2nd Round,64
Adelaide,International,Outdoor,Hard,Quarterfinals,36
Adelaide,International,Outdoor,Hard,Round Robin,24
Adelaide,International,Outdoor,Hard,Semifinals,18
Adelaide,International,Outdoor,Hard,The Final,9
Amersfoort,International,Outdoor,Clay,1st Round,108
Amersfoort,International,Outdoor,Clay,2nd Round,56
Amersfoort,International,Outdoor,Clay,Quarterfinals,28
Amersfoort,International,Outdoor,Clay,Semifinals,14
Amersfoort,International,Outdoor,Clay,The Final,7
Amsterdam,International,Outdoor,Clay,1st Round,32
Amsterdam,International,Outdoor,Clay,2nd Round,16
Amsterdam,International,Outdoor,Clay,Quarterfinals,8
Amsterdam,International,Outdoor,Clay,Semifinals,4
Amsterdam,International,Outdoor,Clay,The Final,2
Atlanta,ATP250,Outdoor,Hard,1st Round,84
Atlanta,ATP250,Outdoor,Hard,2nd Round,56
Atlanta,ATP250,Outdoor,Hard,Quarterfinals,28
Atlanta,ATP250,Outdoor,Hard,Semifinals,14
Atlanta,ATP250,Outdoor,Hard,The Final,7
Atlanta,International,Outdoor,Clay,1st Round,32
Atlanta,International,Outdoor,Clay,2nd Round,16
Atlanta,International,Outdoor,Clay,Quarterfinals,8
Atlanta,International,Outdoor,Clay,Semifinals,4
Atlanta,International,Outdoor,Clay,The Final,2
Auckland,ATP250,Outdoor,Hard,1st Round,96
Auckland,ATP250,Outdoor,Hard,2nd Round,64
Auckland,ATP250,Outdoor,Hard,Quarterfinals,32
Auckland,ATP250,Outdoor,Hard,Semifinals,16
Auckland,ATP250,Outdoor,Hard,The Final,8
Auckland,International,Outdoor,Hard,1st Round,144
Auckland,International,Outdoor,Hard,2nd Round,72
Auckland,International,Outdoor,Hard,Quarterfinals,36
Auckland,International,Outdoor,Hard,Semifinals,18
Auckland,International,Outdoor,Hard,The Final,9
Bangkok,ATP250,Indoor,Hard,1st Round,60
Bangkok,ATP250,Indoor,Hard,2nd Round,40
Bangkok,ATP250,Indoor,Hard,Quarterfinals,20
Bangkok,ATP250,Indoor,Hard,Semifinals,10
Bangkok,ATP250,Indoor,Hard,The Final,5
Bangkok,International,Indoor,Hard,1st Round,92
Bangkok,International,Indoor,Hard,2nd Round,48
Bangkok,International,Indoor,Hard,Quarterfinals,24
Bangkok,International,Indoor,Hard,Semifinals,12
Bangkok,International,Indoor,Hard,The Final,6
Barcelona,ATP500,Outdoor,Clay,1st Round,160
Barcelona,ATP500,Outdoor,Clay,2nd Round,128
Barcelona,ATP500,Outdoor,Clay,3rd Round,64
Barcelona,ATP500,Outdoor,Clay,Quarterfinals,32
Barcelona,ATP500,Outdoor,Clay,Semifinals,16
Barcelona,ATP500,Outdoor,Clay,The Final,8
Barcelona,International,Outdoor,Clay,1st Round,24
Barcelona,International,Outdoor,Clay,2nd Round,16
Barcelona,International,Outdoor,Clay,3rd Round,8
Barcelona,International,Outdoor,Clay,Quarterfinals,4
Barcelona,International,Outdoor,Clay,Semifinals,2
Barcelona,International,Outdoor,Clay,The Final,1
Barcelona,International Gold,Outdoor,Clay,1st Round,192
Barcelona,International Gold,Outdoor,Clay,2nd Round,128
Barcelona,International Gold,Outdoor,Clay,3rd Round,64
Barcelona,International Gold,Outdoor,Clay,Quarterfinals,32
Barcelona,International Gold,Outdoor,Clay,Semifinals,16
Barcelona,International Gold,Outdoor,Clay,The Final,8
Basel,ATP500,Indoor,Hard,1st Round,112
Basel,ATP500,Indoor,Hard,2nd Round,56
Basel,ATP500,Indoor,Hard,Quarterfinals,28
Basel,ATP500,Indoor,Hard,Semifinals,14
Basel,ATP500,Indoor,Hard,The Final,7
Basel,International,Indoor,Carpet,1st Round,144
Basel,International,Indoor,Carpet,2nd Round,72
Basel,International,Indoor,Carpet,Quarterfinals,36
Basel,International,Indoor,Carpet,Semifinals,18
Basel,International,Indoor,Carpet,The Final,9
Bastad,ATP250,Outdoor,Clay,1st Round,96
Bastad,ATP250,Outdoor,Clay,2nd Round,64
Bastad,ATP250,Outdoor,Clay,Quarterfinals,32
Bastad,ATP250,Outdoor,Clay,Semifinals,16
Bastad,ATP250,Outdoor,Clay,The Final,8
Bastad,International,Outdoor,Clay,1st Round,140
Bastad,International,Outdoor,Clay,2nd Round,72
Bastad,International,Outdoor,Clay,Quarterfinals,36
Bastad,International,Outdoor,Clay,Semifinals,18
Bastad,International,Outdoor,Clay,The Final,9
Beijing,ATP500,Outdoor,Hard,1st Round,112
Beijing,ATP500,Outdoor,Hard,2nd Round,56
Beijing,ATP500,Outdoor,Hard,Quarterfinals,28
Beijing,ATP500,Outdoor,Hard,Semifinals,14
Beijing,ATP500,Outdoor,Hard,The Final,7
Beijing,International,Outdoor,Hard,1st Round,76
Beijing,International,Outdoor,Hard,2nd Round,40
Beijing,International,Outdoor,Hard,Quarterfinals,20
Beijing,International,Outdoor,Hard,Semifinals,10
Beijing,International,Outdoor,Hard,The Final,5
Belgrade,ATP250,Outdoor,Clay,1st Round,48
Belgrade,ATP250,Outdoor,Clay,2nd Round,32
Belgrade,ATP250,Outdoor,Clay,Quarterfinals,16
Belgrade,ATP250,Outdoor,Clay,Semifinals,8
Belgrade,ATP250,Outdoor,Clay,The Final,4
Bogota,ATP250,Outdoor,Clay,1st Round,36
Bogota,ATP250,Outdoor,Clay,2nd Round,24
Bogota,ATP250,Outdoor,Clay,Quarterfinals,12
Bogota,ATP250,Outdoor,Clay,Semifinals,6
Bogota,ATP250,Outdoor,Clay,The Final,3
Bogota,International,Outdoor,Clay,1st Round,32
Bogota,International,Outdoor,Clay,2nd Round,16
Bogota,International,Outdoor,Clay,Quarterfinals,8
Bogota,International,Outdoor,Clay,Semifinals,4
Bogota,International,Outdoor,Clay,The Final,2
Brighton,International,Indoor,Hard,1st Round,16
Brighton,International,Indoor,Hard,2nd Round,8
Brighton,International,Indoor,Hard,Quarterfinals,4
Brighton,International,Indoor,Hard,Semifinals,2
Brighton,International,Indoor,Hard,The Final,1
Brisbane,ATP250,Outdoor,Hard,1st Round,96
Brisbane,ATP250,Outdoor,Hard,2nd Round,56
Brisbane,ATP250,Outdoor,Hard,Quarterfinals,28
Brisbane,ATP250,Outdoor,Hard,Semifinals,14
Brisbane,ATP250,Outdoor,Hard,The Final,7
Brisbane,International,Outdoor,Hard,1st Round,16
Brisbane,International,Outdoor,Hard,2nd Round,8
Brisbane,International,Outdoor,Hard,Quarterfinals,4
Brisbane,International,Outdoor,Hard,Semifinals,2
Brisbane,International,Outdoor,Hard,The Final,1
Bucharest,ATP250,Outdoor,Clay,1st Round,100
Bucharest,ATP250,Outdoor,Clay,2nd Round,64
Bucharest,ATP250,Outdoor,Clay,Quarterfinals,32
Bucharest,ATP250,Outdoor,Clay,Semifinals,16
Bucharest,ATP250,Outdoor,Clay,The Final,8
Bucharest,International,Outdoor,Clay,1st Round,144
Bucharest,International,Outdoor,Clay,2nd Round,72
Bucharest,International,Outdoor,Clay,Quarterfinals,36
Bucharest,International,Outdoor,Clay,Semifinals,18
Bucharest,International,Outdoor,Clay,The Final,9
Buenos Aires,ATP250,Outdoor,Clay,1st Round,120
Buenos Aires,ATP250,Outdoor,Clay,2nd Round,64
Buenos Aires,ATP250,Outdoor,Clay,Quarterfinals,32
Buenos Aires,ATP250,Outdoor,Clay,Semifinals,16
Buenos Aires,ATP250,Outdoor,Clay,The Final,8
Buenos Aires,International,Outdoor,Clay,1st Round,112
Buenos Aires,International,Outdoor,Clay,2nd Round,56
Buenos Aires,International,Outdoor,Clay,Quarterfinals,32
Buenos Aires,International,Outdoor,Clay,Round Robin,24
Buenos Aires,International,Outdoor,Clay,Semifinals,16
Buenos Aires,International,Outdoor,Clay,The Final,8
Casablanca,ATP250,Outdoor,Clay,1st Round,88
Casablanca,ATP250,Outdoor,Clay,2nd Round,56
Casablanca,ATP250,Outdoor,Clay,Quarterfinals,28
